2026-04-12 12:06:25.007 +08:00 [DBG] 程式開始
2026-04-12 13:38:26.283 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:38:36.315 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:38:36.343 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:38:46.369 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:38:46.398 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:38:47.935 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:38:47.997 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:38:56.438 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:38:56.466 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:39:06.521 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:39:06.550 +08:00 [DBG] 資料庫連線 ok!
